orderid,storeid,userid
ad63acdc-1d16-4f86-8d7d-5e43663bd0f8,3b70def0-21f4-4229-92bc-9619997441ca,cd64ea2c-696e-4ada-8723-3459141fa7f1
5649cacb-c045-433f-8db9-0b79271bb62d,39c9a4af-8648-42cc-8cee-681969d778b0,da9d51c6-6706-41a2-8f6a-8e7f0c0b13e4
2dab0552-37ef-4c34-98a2-32700eb27316,97984187-d7cf-4e2e-9f70-5c6022443572,eefd5741-299f-4bfd-addc-935e8c17940a
9dd89355-88bf-436e-9204-054cd44e8d5a,f2293fc8-fa50-4a80-a37d-17756c6e7115,09c454ac-7af6-420b-8f99-bd913fe2d16f
092c5910-414d-4c5e-b50c-19cf8db24e5e,b0755839-eda6-4b67-9a1c-8f6618ae1407,71f1663c-4202-4659-a8c5-287ce5f3dcaf
bb7dd31b-ef89-4e02-89d4-a0410787b26e,f7826b0e-7d04-498a-9667-3f021a3b03c6,ffd685fb-8392-4c84-9f94-d79e545e30b7
38a7ab44-fd7a-462c-a129-820363c2abcd,69fec495-f163-4710-ad5d-4ae85102221a,bdefed07-c127-44d9-8517-3d30d598e394
18103429-7026-4477-8e77-00e486a58fca,eec4eaf6-ac60-464f-8cf1-34e84e319a54,9ab13234-9a97-4593-b285-122a8f0a6b5f
cae1f78b-2a7c-4630-ba46-70f93e399c7b,c2417a5e-748d-4f1d-95c2-bc4ec8306d25,ec0a7b65-f73b-43da-bca1-9ed9cf525def
920b3f13-68db-4a01-ac9b-98f7c13a8e36,458bfc8b-6834-44bc-b087-e11ed50dd67a,de178df6-263f-49a3-8965-4968c7474b92
601e28a9-d66d-40f9-a3ad-4a44441b18f3,0a16fd9d-74f6-4f98-b8b0-fcf03eaeb1dc,7cecf06b-70ad-47ba-bfef-4ff7a2bbb211
edde98f9-5f26-4ae1-b489-06c50ea47d1f,581b9cb9-6c94-43f5-9c18-cf64c24d8357,3d9e11e3-2f00-4e71-899a-ffd25676d98c
3d25c02c-f072-417b-8d13-1ca6391214ab,3a7b0da7-5d60-4c67-85db-d0e73d54019d,06f44371-77e2-42ab-9445-19ce90c2919b
ebe361a2-d4c1-4936-895a-19d274d07bbb,d86ea81e-de4b-4e0f-9371-4799c862d11b,fd8f0c56-e8df-4fce-b847-caea03744ea2
94dca9c5-2ecd-4893-a856-080c007ebaea,4e1a9a19-045f-4657-87f6-7299a8b2964d,48f17d77-c593-44ad-b255-13145bdaae5e
4ba41452-5161-4753-91d3-6c76a5f7c5b9,98824bb9-7c9d-47dd-a285-4bbd7d4c4f20,75d423df-8284-4de1-96c5-48b0c74b1f2a
df6059bf-5ca8-4590-ac35-c480235b9b6c,0d4739d7-8466-4ad6-a6b3-475386a29980,651a787c-ba5a-4d80-852a-051c769ae05e
e1951c56-8f1a-444b-a504-dcd7ecd6f374,6afdaf84-2feb-492f-a783-27bb3f1a9c4c,864b7a88-4687-43fd-8907-7cfba8721eb5
a7822d59-8d79-48da-8f9a-f2dc96677f00,e02566cb-ec76-4e55-b54b-42ad8fb22112,b41f9532-853d-4246-8326-228b6264d6c0
ebab4a55-6bb2-4041-804c-aeeba2af13f5,c345dba5-0830-4263-a356-8a78b5b9025e,c1ef9fa5-52c9-4568-8792-8ed26fe294d3
98b51482-abbe-4ee8-8848-42bbdc807f2e,0a16fd9d-74f6-4f98-b8b0-fcf03eaeb1dc,e3d4aeb6-b173-4785-89c3-362eb53d76bf
96eb67c5-b9ed-47ea-a00c-859eb7981ff6,56c7ef28-e0ee-4621-b66e-b81176a9687a,941b08ed-af64-4c3b-b41f-8bb3dd774fff
aa78855a-4e70-4a41-acab-ce784e840cce,0f8c713b-571a-4f89-be28-29d5b4c26238,11d639d0-8776-4b44-9527-f257285462b0
c3f98ff5-1aec-4dd5-b79f-f92a60561e47,ef095477-615b-4621-b01c-a9e085898785,9d7c536a-3cb0-4d1a-b890-ca91e5e1c35c
c3a1bb02-9125-49fd-a83f-dfd523f876b2,6e3968a7-82d1-4c35-9c6e-3e2a6f6c4af2,c3f7fc57-1766-4801-a415-1564c96b3d84
7817b0f5-255a-400d-a122-5d5a9c7f6d9d,58a2e98e-16d2-4c5f-9d41-2a9cdb81748b,86576ba0-a2ea-497e-a29a-f0aafc0cc06d
bd766424-0ffe-4169-ae3b-be0a759aa3ed,b2cc715a-ab4c-4bcd-87a1-1d73886a3647,db3bc052-aa3e-491f-9cfd-0d1f37065ef8
ab50f3ab-993c-4875-ad0e-76391deec96b,3b3f391c-ae78-4afb-afc1-12ad5f9edff4,c1ef9fa5-52c9-4568-8792-8ed26fe294d3
1d85fd7c-a320-4f29-9699-38b53e182e5a,b356c787-9d9b-4dab-8ea8-6cff1ee844b0,421f6872-d015-4243-9195-787e24e10df2
b9ffa44b-8789-47f9-8e4d-261a8c2dafc2,6318b49f-0969-44f9-9b53-3c9d00cbb808,afc1f9eb-47f9-4c84-ad38-4414a2d79093
aa9f2f4c-a476-4783-85a9-60d4d1ed37bd,21847fc4-e1f0-4d5c-a3b4-020b2d07e5a0,e5366da6-c18e-4a2e-b1a6-ade4d3cca814
b484914a-69c7-4739-bcf3-97e194bfdb74,54c48319-b2ba-4a7b-b67a-1c658815e43c,b9317d7c-40a0-4839-8be1-73c2f077b9b7
66553fc2-6070-4e84-9cdd-dfc101704dd4,54a3eebc-9eb6-404d-997f-84d58dfd0dd1,b4b5b509-8fd9-4187-a121-2a500d7d0380
41b264b2-6717-4036-b80b-73a59186431f,4b50a9e0-5313-476b-bf51-b54ac75dfbd0,4b11ecd1-a4c1-4100-acac-c08d63b68716
7783765c-d207-4c6e-a05a-91d22ae63123,45b9501e-5ca2-4dd3-a63c-92f0e5ec6c0e,9e2465c5-5786-4294-9997-3abd4025fe5d
35a95323-0090-4ca9-8744-a7774bf01c7b,e1a9534b-f523-4b35-be46-117c908f226d,44407169-1448-4408-8cc4-6cefe117f2e0
b80a1741-1c3a-4003-90fc-2506399ad2e5,ef3f974e-8870-409d-a784-f4fcfb03adfe,30f02596-4b85-4e99-96d5-20e07d6e85e6
a1234b38-5cb7-4686-b45f-3691b0cd05f4,adacbc5e-20cb-4f7b-8a48-d643b52df632,257484cd-6c77-420c-947b-bee7bb71bccf
19beb9b7-1e40-43bf-b15b-04443ea0d699,d5ad9003-8e6c-46b7-b744-349a563f7576,71bf20ab-ef5a-4c9d-b2d0-8d5ddfc2ec05
30808681-119e-4944-aa38-ae890dd8f97b,f55633e5-5f76-4087-aa3d-27ad2fe07846,02ab3ce4-2fad-4759-8c30-7ef5c05cef78
2d2d2f16-8484-449a-bf61-f39dde3d610d,a2b97044-ea57-4436-bd55-d6782f94aa1c,bd9c81f2-7b85-4ae4-b0aa-2673080a4fca
4687b98e-8056-4ec1-92db-805537c18766,eb0198e2-d1b8-4b6f-9deb-0d2ad18e00ed,f6ac2239-2d63-468e-82a5-afaf0f1c87be
c14efb01-3892-4da1-91b7-25c4f2229424,aee98427-ae8f-499c-afc5-926944848dca,f0d56d81-dff4-48d2-a93e-eb4cf851f90e
a3202bff-0039-4c94-bbdc-cecb576a885a,0d4e4064-b6a2-4893-9a2f-b93f2661a08f,3eed1a81-5d18-4c22-9341-d50be40d764e
50c679ed-6765-47ae-bb38-27ceaac59f63,d6e94bf9-df56-4b57-b0d9-f78ee12b7f49,1f28c8b1-32d6-4790-a7af-ceea053013a8
239a4db3-ec44-497c-b1d2-d982b12addd7,54a3eebc-9eb6-404d-997f-84d58dfd0dd1,1f542294-7b18-47ec-8326-18de6041878c
84a3dd93-e0af-449a-a713-49d5fd0dd933,ca087ce0-c384-42c8-8d10-74732341d08a,4c425cf3-a17f-42b6-b5f1-447f342b1b64
2040f440-3f13-4e9f-b1e0-4838a8ac3e84,aec68557-5ed0-4a40-bc67-4bb2df35a4c8,6eafcfbf-6500-4f0b-b4fa-86199f4180ba
a85c157c-54ce-4c64-b5ef-e69ca470224f,83239270-93cb-4186-a750-fbd8ca40f95e,452e8990-49b8-4380-9ca8-2d86757787be
64eee465-f773-4f0b-a916-216a912a1769,d954d2a4-5098-4367-b2b3-1b8cec6a7de0,5124eaf4-082b-4b89-bec0-b1d001cd6725
